Sentiment, Time, Tweet
0.1," 	2009-06-11 17:13:17", Barclays sale would put pressure on State Street Vanguard ETFs http://bit.ly/11aCgO #exchange traded fund #money
0," 	2009-06-11 17:57:42", Ai que complicado comprar ingresso do noitão HSBC Belas Artes pela internet...
0.7," 	2009-06-11 18:43:40", Reading bignews: $12 Billion Deal For Barclays Global Investors. http://bit.ly/3g7IG
0.3," 	2009-06-11 19:15:24", The June 16 lunch features panelist Diane Soucy Bergan of HSBC-North America http://bit.ly/19EMc0
-0.2," 	2009-06-11 19:18:58", Abuse of the Middle Class - http://tinyurl.com/mjrc5d Credit Card Companies are destroying the middle class. #bank #debt
0.6," 	2009-06-11 21:24:00", New secure Barclays credit/debit card payment option added!
0.1," 	2009-06-11 21:26:21", Marketing News: HSBC Bank Preps Plans For Wimbledon http://tinyurl.com/m2b9xm
0.6," 	2009-06-11 22:09:59", I don't care what http://bit.ly/WY1ye says I'm still transferring my savings over to the Natwest tomorrow.
0.1," 	2009-06-11 22:12:30", In spite of bad publicity Haier signs on as a sponsor for Barclays Center. http://www.netsdaily.com/?p=8111
0," 	2009-06-11 22:53:48", Rid-of-Debt.com - http://tinyurl.com/kt3fp6 Get rid of debt. Don't feel guilty #debt #bank #tlot
0.1," 	2009-06-11 23:39:31", Account Manager Personal Financial Services - HSBC CA - Toronto ON http://bit.ly/18QzKL
0.1," 	2009-06-11 23:39:33", Investment Services Representative (4 Vacancies) - HSBC CA - Toronto ON http://bit.ly/jQVcE
0.1," 	2009-06-11 23:39:34", Senior Account Manager - Commercial Banking - HSBC CA - Toronto ON http://bit.ly/aQrYK
0.1," 	2009-06-11 23:59:00", Area Manager Barclays Financial Planning: We have opportunities in this role UK wide Planning for success At Bar.. http://tinyurl.com/lwprdc
0.5," 	2009-06-11 23:59:18", Pl. RT: Retirement Planning Faces A Perfect Storm - HSBC #seniors http://cli.gs/yp8rnP
0.8," 	2009-06-12 00:01:19", New blog post: Nationwide Building Society Expands Mortgage Products http://bit.ly/5SjCN
0.4," 	2009-06-12 00:41:03", BlackRock Agrees to Acquire Barclays Global Investors Including Its ... - StreetInsider.com: NEW YORK--(BUSINES.. http://bit.ly/17KcJd
0," 	2009-06-12 00:42:16", Closed all buy orders out for profit good thing Blackrock is buying Barclays Global market is going the other way now
0.4," 	2009-06-12 00:48:26", DealBook: BlackRock to Buy Barclays Global Investors: BlackRock said it had agreed to acquire Barclays Global In.. http://tinyurl.com/nhuvk9
0.4," 	2009-06-12 00:56:21", #finance BlackRock to buy asset management arm of Barclays http://cli.gs/Z12u3p
0," 	2009-06-12 01:03:03", Market Insider: Friday Look Ahead http://cnbc.com/id/31275755 $EUR-TN #Banking #Congress #Currencies #StockMarket #InvestmentStrategy
0.4," 	2009-06-12 01:04:13", 这个还是要推一下的RD @nytimes: DealBook: BlackRock to Buy Barclays Global Investors http://bit.ly/v3Teu
0.4," 	2009-06-12 01:09:11", BlackRock to Buy Barclays Global Investors - DealBook Blog - NYTimes.com http://ff.im/3S9m9
0.4," 	2009-06-12 01:12:09", BlackRock to Buy Barclays Global Fund Unit for $13.5 Billion - Bloomberg: ReutersBlackRock to Buy Barclays Globa.. http://bit.ly/L62Gm
0.4," 	2009-06-12 01:14:18", BlackRock to Buy Barclays Global Fund Unit for $13.5 Billion: s investment unit in 2006 which enabled BlackRock.. http://bit.ly/P0tAx
0.4," 	2009-06-12 01:16:51", BlackRock to Buy Barclays Global Fund Unit for $13.5 Billion - Bloomberg: ReutersBlackRock to Buy Barclays Globa.. http://tinyurl.com/mgukjn
0.4," 	2009-06-12 01:19:02", BlackRock to buy BGI for $13bn: BlackRock agreed to pay more than $13bn in cash and shares to buy Barclays Globa.. http://tinyurl.com/mom92j
0.4," 	2009-06-12 01:20:20", BlackRock to Buy Barclays Global Investors http://bit.ly/5CjRv
-0.3," 	2009-06-12 01:20:23", Barclays' Sale of `Family Silver' May Weaken Bank as It Bolsters Capital http://t.love.com/222004428
0.4," 	2009-06-12 01:29:05", blackrock to Buy Barclays Global Fund Unit for $13.5 Billion - Bloomberg http://tinyurl.com/kueygh
0.1," 	2009-06-12 02:51:57", New York NY - Private Client Services Regional Administration Manager - HSBC Bank: Make the Right Move and join.. http://bit.ly/zOZaR
-0.1," 	2009-06-12 03:46:38", RT: @pangti: hsbc online and net4india are deadly combination - one works only in firefox and one only in ie
0.3," 	2009-06-12 04:54:21", #vc Barclay&#8217;s Diamond to make $26m on BGI: Barclays president Bob Diamond stands to make a $26m profit .. http://tinyurl.com/kq4kk8
0.1," 	2009-06-12 05:25:27", Rochester Jobs Branch Relationship Banker - HSBC Bank - Rochester NY: Make the Right Move and joi.. http://tinyurl.com/mc3nx6
0.4," 	2009-06-12 05:38:27", Reading about Blackrock / Barclays $BCS deal http://bit.ly/Tq8gD - $BCS up over $20 again after hours
0.1," 	2009-06-12 06:05:12", Senior User Interface Designer - HSBC - Mettawa IL: position is for a Senior User Interface Designer (UI Design.. http://tinyurl.com/lqpttx
0.4," 	2009-06-12 06:23:42", More protection for Barclays http://bit.ly/14aCV0
0.2," 	2009-06-12 06:32:05", Lehman to Pay Barclays $6 Million for Its Own Desks Chairs: The repurchase is necessary because “Barclays has a.. http://tinyurl.com/kjrhgv
0.1," 	2009-06-12 06:37:35", Personal Loan - Direct Sales Representatives | Zebra Strategic Outsource Solution Limited - Citibank | http://bit.ly/zh6by | #bank
0.4," 	2009-06-12 06:50:49", BBC News: Blackrock in £8.2bn Barclays deal: Barclays agrees to sell its fund management division Barc.. http://tinyurl.com/ncll8d
0.5," 	2009-06-12 07:04:29", Barclays sees capital boost from $13.5 bln BGI sale: LONDON/BOSTON (Reuters) - British bank Barclays confirmed o.. http://tinyurl.com/lk7se8
0.1," 	2009-06-12 07:07:17", Bilingual Business Relationship Manag... - HSBC - CA - San Francisco (http://tinyurl.com/nnohqh) CareerBuilder #jobs
0.2," 	2009-06-12 07:08:41", Selling the family silver or shrewd investment? Blackrock's £8.2bn Barclays fund manager buy http://bit.ly/kjcNi Certainly brings in cash
0.4," 	2009-06-12 07:15:42", Asian Stocks Gain a Third Day on Retail Sales China Lending; HSBC Climbs http://t.love.com/222287445
0.6," 	2009-06-12 07:35:21", Co-operative bank & Santander now do free business banking any others?
0.1," 	2009-06-12 08:06:37", Business Relationship Manager Busines... - HSBC - CA - Walnut (http://tinyurl.com/klgzxn) CareerBuilder #jobs
0.1," 	2009-06-12 09:07:22", Bilingual Business Relationship Manag... - HSBC - CA - San Francisco (http://tinyurl.com/nnohqh) CareerBuilder #jobs
0.2," 	2009-06-12 09:13:26", Lehman to Pay Barclays $6 Million for Its Own Desks Chairs http://bit.ly/2Vm9bm
0.4," 	2009-06-12 09:14:01", thanks to the team who made inspiring entrepreneurship possible. Neil Bevan Hunter Bevan Howard & Dan Border Business Ruth Maddox Barclays
-0.1," 	2009-06-12 09:17:20", RT @TheLexColumn: Coming later: Blackrock buys Barclays BGI US bonds RT Watch now how Barclays loan book losses magically get bigger!!!
-0.1," 	2009-06-12 09:24:34", Barclays staff set for £365m windfall: Scores of Barclays staff were in line to share a £365m windfall today aft.. http://tinyurl.com/m5pabp
0.2," 	2009-06-12 09:39:41", RT @grahunt: http://bit.ly/jJCZh Spain the best place to raise children as an expat acc to HSBC
0.4," 	2009-06-12 09:42:54", M&C World News Barclays in profitable sale of fund management division : London - Britain's Barcla.. http://tinyurl.com/n7uu7y
0.3," 	2009-06-12 09:47:58", HK Shares End Up Led By HSBC Chinese Banks On May Loan Data: HONG KONG (Dow Jones)--Gains in HSBC and Chinese b.. http://twurl.nl/zfd454
-0.1," 	2009-06-12 09:51:34", RateTake: Barclays shares down after sale of investment unit (AP) http://tinyurl.com/meruod
-0.1," 	2009-06-12 09:51:40", Barclays: Goodbye BGI Investors seem disappointed to see the fund management arm go even with the high price tag. http://bit.ly/18u0qh
0.2," 	2009-06-12 10:01:52", RT @AdahParris At IPA Client Services Breakfast session with Dennis Turner Chief Economist HSBC... The UK: How Long How Deep?
0.2," 	2009-06-12 10:02:48", RT @InformedChoice: Pensions 'perfect storm' for an unprepared world?: New research this week from HSBC I.. http://tinyurl.com/m98w2p
0.2," 	2009-06-12 10:03:25", eOffice finalist at HSBC Startup Star Awards http://twitgoo.com/re3a
0.4," 	2009-06-12 10:04:42", HK Shares End Up Led By HSBC Chinese Banks On May Loan Data - Wall Street Journal: Globe and MailHK Shares End .. http://tinyurl.com/lwclko
0.1," 	2009-06-12 10:05:43", Business Relationship Manager Busines... - HSBC - CA - Walnut (http://tinyurl.com/klgzxn) CareerBuilder #jobs
0.1," 	2009-06-12 10:06:58", Bilingual Business Relationship Manag... - HSBC - CA - San Francisco (http://tinyurl.com/nnohqh) CareerBuilder #jobs
0.2," 	2009-06-12 10:33:46", Insurance News: Pensions ‘Perfect Storm’ Looms For Unprepared World HSBC http://tinyurl.com/peqj8s Full http://tinyurl.com/cqyrh8
0.1," 	2009-06-12 10:41:38", RT @joycefeldman: IPensions ‘Perfect Storm’ Looms For Unprepared World HSBC http://tinyurl.com/peqj8s Full http://tinyurl.com/cqyrh8
0.1," 	2009-06-12 10:41:40", FHN Day 5 at the Standard Chartered Bank FIH Junior Men's World Cup in Singapore and Johor Bahru was an excit.. http://tinyurl.com/mdjvzr
0.1," 	2009-06-12 11:05:41", Business Relationship Manager Busines... - HSBC - CA - Walnut (http://tinyurl.com/klgzxn) CareerBuilder #jobs
0.1," 	2009-06-12 11:06:57", Bilingual Business Relationship Manag... - HSBC - CA - San Francisco (http://tinyurl.com/nnohqh) CareerBuilder #jobs
0.4," 	2009-06-12 11:30:43", Barclays To Be Well-Capitalized After BGI Sale - CEO - Wall Street Journal http://ow.ly/dGAl
0.1," 	2009-06-12 11:35:26", Jarden Corporation to Participate in the Barclays Capital Leveraged Finance Consumer Conference http://tinyurl.com/ksa35x
0.1," 	2009-06-12 12:05:43", Business Relationship Manager Busines... - HSBC - CA - Walnut (http://tinyurl.com/klgzxn) CareerBuilder #jobs
0.4," 	2009-06-12 12:30:35", HSBC Sells Joint Venture Stake To Global Payments (http://cli.gs/unqTbz)
0.3," 	2009-06-12 12:37:59", BBC - Peston&#39;s Picks: More protection for Barclays: The small number of senior staff were gifted &quot;shado.. http://bit.ly/ljNeN
